strategy,workload,threads,dataset_size,repetition,throughput_ops_sec
fine,mixed,1,10000,3,20068231.99
fine,mixed,1,10000,4,15257857.8
fine,mixed,1,10000,5,20802995.63
fine,mixed,1,50000,1,3700195.37
fine,mixed,1,50000,2,3487261.04
fine,mixed,1,50000,3,3877351.61
fine,mixed,1,50000,4,3631187.54
fine,mixed,1,50000,5,3495623.48
fine,mixed,1,100000,1,1481935.94
fine,mixed,1,100000,2,1273131.2
fine,mixed,1,100000,3,1537061.63
fine,mixed,1,100000,4,1409856.59
fine,mixed,1,100000,5,1269298.09
fine,mixed,1,500000,1,58731.18
fine,mixed,1,500000,2,64973.17
fine,mixed,1,500000,3,59775.12
fine,mixed,1,500000,4,66718.73
fine,mixed,1,500000,5,66998.99
fine,mixed,1,1000000,1,25933.79
fine,mixed,1,1000000,2,23013.15
fine,mixed,1,1000000,3,26689.07
fine,mixed,1,1000000,4,27608.47
fine,mixed,1,1000000,5,26218.4
fine,mixed,2,10000,1,34340659.34
fine,mixed,2,10000,2,34328870.58
fine,mixed,2,10000,3,32594524.12
fine,mixed,2,10000,4,33990482.66
fine,mixed,2,10000,5,30395136.78
fine,mixed,2,50000,1,6260878.28
fine,mixed,2,50000,2,5893307.56
fine,mixed,2,50000,3,6717811.61
fine,mixed,2,50000,4,6197169.13
fine,mixed,2,50000,5,6597263.46
fine,mixed,2,100000,1,2258284.52
fine,mixed,2,100000,2,2781625.69
fine,mixed,2,100000,3,2700257.87
fine,mixed,2,100000,4,2650389.74
fine,mixed,2,100000,5,1982089.84
fine,mixed,2,500000,1,99808.39
fine,mixed,2,500000,2,96933.26
fine,mixed,2,500000,3,97077.69
fine,mixed,2,500000,4,99747.65
fine,mixed,2,500000,5,98070.4
fine,mixed,2,1000000,1,43877.38
fine,mixed,2,1000000,2,45167.83
fine,mixed,2,1000000,3,45648.05
fine,mixed,2,1000000,4,45734.74
fine,mixed,2,1000000,5,42632.03
fine,mixed,4,10000,1,34940600.98
fine,mixed,4,10000,2,41118421.05
fine,mixed,4,10000,3,26191723.42
fine,mixed,4,10000,4,48520135.86
fine,mixed,4,10000,5,46232085.07
fine,mixed,4,50000,1,10969001.6
fine,mixed,4,50000,2,10761945.76
fine,mixed,4,50000,3,10753844.5
fine,mixed,4,50000,4,10621574.54
fine,mixed,4,50000,5,10004401.94
fine,mixed,4,100000,1,4691069.61
fine,mixed,4,100000,2,3627446.71
fine,mixed,4,100000,3,4303926.04
fine,mixed,4,100000,4,4609335.75
fine,mixed,4,100000,5,4226167.58
fine,mixed,4,500000,1,173983.14
fine,mixed,4,500000,2,173310.74
fine,mixed,4,500000,3,172194.22
fine,mixed,4,500000,4,170455.38
fine,mixed,4,500000,5,207613.19
fine,mixed,4,1000000,1,83461.04
fine,mixed,4,1000000,2,79034.31
fine,mixed,4,1000000,3,90659.07
fine,mixed,4,1000000,4,81662.15
fine,mixed,4,1000000,5,88733.0
fine,mixed,8,10000,1,37579857.2
fine,mixed,8,10000,2,31357792.41
fine,mixed,8,10000,3,44150110.38
fine,mixed,8,10000,4,42265426.88
fine,mixed,8,10000,5,13236267.37
fine,mixed,8,50000,1,19010684.0
fine,mixed,8,50000,2,16102540.98
fine,mixed,8,50000,3,16842956.28
fine,mixed,8,50000,4,15753489.4
fine,mixed,8,50000,5,14817888.15
fine,mixed,8,100000,1,8130544.01
fine,mixed,8,100000,2,7440365.47
fine,mixed,8,100000,3,7084862.48
fine,mixed,8,100000,4,7468204.12
fine,mixed,8,100000,5,7565441.07
fine,mixed,8,500000,1,378174.15
fine,mixed,8,500000,2,362035.19
fine,mixed,8,500000,3,346704.86
fine,mixed,8,500000,4,346579.53
fine,mixed,8,500000,5,322748.16
fine,mixed,8,1000000,1,130366.3
fine,mixed,8,1000000,2,144456.82
fine,mixed,8,1000000,3,129524.81
fine,mixed,8,1000000,4,137122.54
fine,mixed,8,1000000,5,125883.36
fine,mixed,16,10000,1,34328870.58
fine,mixed,16,10000,2,36845983.79
fine,mixed,16,10000,3,48262548.26
fine,mixed,16,10000,4,40518638.57
fine,mixed,16,10000,5,33875338.75
fine,mixed,16,50000,1,18801940.36
fine,mixed,16,50000,2,18594964.48
fine,mixed,16,50000,3,17162667.77
fine,mixed,16,50000,4,17772722.43
fine,mixed,16,50000,5,18857961.83
fine,mixed,16,100000,1,9941148.4
fine,mixed,16,100000,2,10271580.59
fine,mixed,16,100000,3,6063104.79
fine,mixed,16,100000,4,10163014.76
fine,mixed,16,100000,5,9524716.64
fine,mixed,16,500000,1,545479.28
fine,mixed,16,500000,2,519333.33
fine,mixed,16,500000,3,510664.77
fine,mixed,16,500000,4,511975.94
fine,mixed,16,500000,5,571591.49
fine,mixed,16,1000000,1,195405.82
fine,mixed,16,1000000,2,193008.52
fine,mixed,16,1000000,3,193432.28
fine,mixed,16,1000000,4,193991.66
fine,mixed,16,1000000,5,194376.37
